block,timestamp,reserve0,reserve1,totalsupply,reserve0tkn,reserve1tkn
11473219,1608242442,496693096779470932599,1542083592448795278561,1000000000000000000000,0xC011a73ee8576Fb46F5E1c5751cA3B9Fe0af2a6F,0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C
11474719,1608262163,457346210205419910043,1675042533441808285546,1000000000000000000000,0xC011a73ee8576Fb46F5E1c5751cA3B9Fe0af2a6F,0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C
11476219,1608281465,457346210205419910043,1675042533441808285546,1000000000000000000000,0xC011a73ee8576Fb46F5E1c5751cA3B9Fe0af2a6F,0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C
11477719,1608301672,457346210205419910043,1675042533441808285546,1000000000000000000000,0xC011a73ee8576Fb46F5E1c5751cA3B9Fe0af2a6F,0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C
11479219,1608321912,402423333386608761226,1904173728499298720653,1000000000000000000000,0xC011a73ee8576Fb46F5E1c5751cA3B9Fe0af2a6F,0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C
11480719,1608341378,402423333386608761226,1904173728499298720653,1000000000000000000000,0xC011a73ee8576Fb46F5E1c5751cA3B9Fe0af2a6F,0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C
11482219,1608361902,402423333386608761226,1904173728499298720653,1000000000000000000000,0xC011a73ee8576Fb46F5E1c5751cA3B9Fe0af2a6F,0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C
11483719,1608381523,402423333386608761226,1904173728499298720653,1000000000000000000000,0xC011a73ee8576Fb46F5E1c5751cA3B9Fe0af2a6F,0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C
11485219,1608401307,402423333386608761226,1904173728499298720653,1000000000000000000000,0xC011a73ee8576Fb46F5E1c5751cA3B9Fe0af2a6F,0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C
11486719,1608421188,402423333386608761226,1904173728499298720653,1000000000000000000000,0xC011a73ee8576Fb46F5E1c5751cA3B9Fe0af2a6F,0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C
11488219,1608440968,402423333386608761226,1904173728499298720653,1000000000000000000000,0xC011a73ee8576Fb46F5E1c5751cA3B9Fe0af2a6F,0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C
11489719,1608460418,402444467137556147904,1904273728499298720653,1000052516216615808030,0xC011a73ee8576Fb46F5E1c5751cA3B9Fe0af2a6F,0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C
11491219,1608480678,402444467137556147904,1904273728499298720653,1000052516216615808030,0xC011a73ee8576Fb46F5E1c5751cA3B9Fe0af2a6F,0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C
11492719,1608500400,402444467137556147904,1904273728499298720653,1000052516216615808030,0xC011a73ee8576Fb46F5E1c5751cA3B9Fe0af2a6F,0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C
11494219,1608520732,402444467137556147904,1904273728499298720653,1000052516216615808030,0xC011a73ee8576Fb46F5E1c5751cA3B9Fe0af2a6F,0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C
11495719,1608540480,402444467137556147904,1904273728499298720653,1000052516216615808030,0xC011a73ee8576Fb46F5E1c5751cA3B9Fe0af2a6F,0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C
11497219,1608559712,402444467137556147904,1904273728499298720653,1000052516216615808030,0xC011a73ee8576Fb46F5E1c5751cA3B9Fe0af2a6F,0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C
11498719,1608580125,402444467137556147904,1904273728499298720653,1000052516216615808030,0xC011a73ee8576Fb46F5E1c5751cA3B9Fe0af2a6F,0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C
11500219,1608599809,396146501768599915213,1934997156824512982643,1000052516216615808030,0xC011a73ee8576Fb46F5E1c5751cA3B9Fe0af2a6F,0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C
11501719,1608619929,396146501768599915213,1934997156824512982643,1000052516216615808030,0xC011a73ee8576Fb46F5E1c5751cA3B9Fe0af2a6F,0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C
11503219,1608639412,396146501768599915213,1934997156824512982643,1000052516216615808030,0xC011a73ee8576Fb46F5E1c5751cA3B9Fe0af2a6F,0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C
11504719,1608659017,396146501768599915213,1934997156824512982643,1000052516216615808030,0xC011a73ee8576Fb46F5E1c5751cA3B9Fe0af2a6F,0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C
11506219,1608679391,377691549849855619246,2029744702338152071054,1000052516216615808030,0xC011a73ee8576Fb46F5E1c5751cA3B9Fe0af2a6F,0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C
11507719,1608699161,377691549849855619246,2029744702338152071054,1000052516216615808030,0xC011a73ee8576Fb46F5E1c5751cA3B9Fe0af2a6F,0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C
11509219,1608718744,3805552624698247976212,23690512421595930102066,10844171952020998298944,0xC011a73ee8576Fb46F5E1c5751cA3B9Fe0af2a6F,0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C
11510719,1608738534,3858237623558174247504,23368627226508114348998,10844171952020998298944,0xC011a73ee8576Fb46F5E1c5751cA3B9Fe0af2a6F,0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C
11512219,1608758510,3857965393368335217946,23372597820920757840290,10844171952020998298944,0xC011a73ee8576Fb46F5E1c5751cA3B9Fe0af2a6F,0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C
11513719,1608778584,3857965393368335217946,23372597820920757840290,10844171952020998298944,0xC011a73ee8576Fb46F5E1c5751cA3B9Fe0af2a6F,0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C
11515219,1608798420,3857965393368335217946,23372597820920757840290,10844171952020998298944,0xC011a73ee8576Fb46F5E1c5751cA3B9Fe0af2a6F,0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C
11516719,1608818596,3918939905840982637152,23010453969575078848399,10844171952020998298944,0xC011a73ee8576Fb46F5E1c5751cA3B9Fe0af2a6F,0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C
11518219,1608838082,3818973452872045966717,23614013722972208706624,10844171952020998298944,0xC011a73ee8576Fb46F5E1c5751cA3B9Fe0af2a6F,0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C
11519719,1608857992,3879952961018627417673,23477316755153261010650,10898465449976060970964,0xC011a73ee8576Fb46F5E1c5751cA3B9Fe0af2a6F,0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C
11521219,1608878473,3879952961018627417673,23477316755153261010650,10898465449976060970964,0xC011a73ee8576Fb46F5E1c5751cA3B9Fe0af2a6F,0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C
11522719,1608898174,3796435558702889950504,23994849710843188197927,10898465449976060970964,0xC011a73ee8576Fb46F5E1c5751cA3B9Fe0af2a6F,0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C
11524219,1608918178,3922297346149338686021,23227875534699368199028,10898465449976060970964,0xC011a73ee8576Fb46F5E1c5751cA3B9Fe0af2a6F,0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C
11525719,1608938521,3955297346149338686021,23423301792577955471741,10990158997942864357233,0xC011a73ee8576Fb46F5E1c5751cA3B9Fe0af2a6F,0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C
11527219,1608958490,3858993298289944173258,24010397480773970211427,10990158997942864357233,0xC011a73ee8576Fb46F5E1c5751cA3B9Fe0af2a6F,0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C
11528719,1608977884,3713923097952723909267,24950206194414876296698,10990158997942864357233,0xC011a73ee8576Fb46F5E1c5751cA3B9Fe0af2a6F,0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C
11530219,1608997347,3656761124740373461733,25341018134369180125111,10990158997942864357233,0xC011a73ee8576Fb46F5E1c5751cA3B9Fe0af2a6F,0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C
