block,timestamp,reserve0,reserve1,totalsupply,reserve0tkn,reserve1tkn,price,sINV
11083000,1603065231,0.10088,1372.0,10.0,YFI,BNT,7.352769679300291e-05,1.176466574110799
11084000,1603078333,0.10088,1372.0,10.0,YFI,BNT,7.352769679300291e-05,1.176466574110799
11085000,1603091367,0.10088,1372.0,10.0,YFI,BNT,7.352769679300291e-05,1.176466574110799
11086000,1603104567,1.4330443746847383,19489.85806966159,142.05435910832063,YFI,BNT,7.352769679300291e-05,1.176466574110799
11087000,1603117975,1.4330443703302083,19490.037964204395,142.05435910832063,YFI,BNT,7.352701790330795e-05,1.1764720017992192
11088000,1603130753,1.4330443703302083,19490.037964204395,142.05435910832063,YFI,BNT,7.352701790330795e-05,1.1764720017992192
11089000,1603144027,1.4464171442778662,19311.002413714632,142.05435910832063,YFI,BNT,7.490119431866591e-05,1.1765072949436353
11090000,1603157253,1.4654831659960557,19062.05068098488,142.05435910832063,YFI,BNT,7.687961754597216e-05,1.1765778328516505
11091000,1603169972,1.4654831659960557,19062.05068098488,142.05435910832063,YFI,BNT,7.687961754597216e-05,1.1765778328516505
11092000,1603183777,1.4158874772499759,19731.141006929807,142.05435910832063,YFI,BNT,7.175902684759587e-05,1.1766191307709082
11093000,1603196826,1.4062788510009063,19866.229221255187,142.05435910832063,YFI,BNT,7.078740687720983e-05,1.1766271864040392
11094000,1603210011,1.3661976693010247,20450.26225516058,142.05435910832063,YFI,BNT,6.680587526237067e-05,1.176661776714913
11095000,1603223269,1.3911590593093066,20084.059674248085,142.05435910832063,YFI,BNT,6.92668256255512e-05,1.1766832749547838
11096000,1603236508,1.3911590593093066,20084.059674248085,142.05435910832063,YFI,BNT,6.92668256255512e-05,1.1766832749547838
11097000,1603250137,1.3911590593093066,20084.059674248085,142.05435910832063,YFI,BNT,6.92668256255512e-05,1.1766832749547838
11098000,1603263141,1.3911590593093066,20084.059674248085,142.05435910832063,YFI,BNT,6.92668256255512e-05,1.1766832749547838
11099000,1603276625,1.3911590593093066,20084.059674248085,142.05435910832063,YFI,BNT,6.92668256255512e-05,1.1766832749547838
11100000,1603289620,1.3911590593093066,20084.059674248085,142.05435910832063,YFI,BNT,6.92668256255512e-05,1.1766832749547838
11101000,1603302988,1.3911590593093066,20084.059674248085,142.05435910832063,YFI,BNT,6.92668256255512e-05,1.1766832749547838
11102000,1603316667,1.3911590593093066,20084.059674248085,142.05435910832063,YFI,BNT,6.92668256255512e-05,1.1766832749547838
11103000,1603329593,1.4174054969007424,19712.90212622426,142.05435910832063,YFI,BNT,7.190242653389702e-05,1.176705474754731
11104000,1603342763,1.4174054969007424,19712.90212622426,142.05435910832063,YFI,BNT,7.190242653389702e-05,1.176705474754731
11105000,1603356256,1.4174054969007424,19712.90212622426,142.05435910832063,YFI,BNT,7.190242653389702e-05,1.176705474754731
11106000,1603370022,1.4174054969007424,19712.90212622426,142.05435910832063,YFI,BNT,7.190242653389702e-05,1.176705474754731
11107000,1603383163,1.4174054969007424,19712.90212622426,142.05435910832063,YFI,BNT,7.190242653389702e-05,1.176705474754731
11108000,1603395740,1.4174054969007424,19712.90212622426,142.05435910832063,YFI,BNT,7.190242653389702e-05,1.176705474754731
11109000,1603408801,1.4174054969007424,19712.90212622426,142.05435910832063,YFI,BNT,7.190242653389702e-05,1.176705474754731
11110000,1603422122,1.3890995159237955,20115.417627485247,142.05435910832063,YFI,BNT,6.90564591622379e-05,1.176729501524379
11111000,1603435276,1.3890995159237955,20115.417627485247,142.05435910832063,YFI,BNT,6.90564591622379e-05,1.176729501524379
11112000,1603449486,1.3890995159237955,20115.417627485247,142.05435910832063,YFI,BNT,6.90564591622379e-05,1.176729501524379
11113000,1603462512,1.3594706950597668,20554.71843237275,142.05435910832063,YFI,BNT,6.613910570132948e-05,1.1767551998510133
11114000,1603475052,1.3594706950597668,20554.71843237275,142.05435910832063,YFI,BNT,6.613910570132948e-05,1.1767551998510133
11115000,1603488794,1.3594706950597668,20554.71843237275,142.05435910832063,YFI,BNT,6.613910570132948e-05,1.1767551998510133
11116000,1603502193,1.3392585078654544,20865.56281521216,142.05435910832063,YFI,BNT,6.418511303654173e-05,1.176772995520617
11117000,1603515116,1.3172252376065567,21215.29293694185,142.05435910832063,YFI,BNT,6.2088477473384e-05,1.1767927193841732
11118000,1603528247,1.3172252376065567,21215.29293694185,142.05435910832063,YFI,BNT,6.2088477473384e-05,1.1767927193841732
11119000,1603542019,1.3172252376065567,21215.29293694185,142.05435910832063,YFI,BNT,6.2088477473384e-05,1.1767927193841732
