block,timestamp,reserve0,reserve1,totalsupply,reserve0tkn,reserve1tkn
11043000,1602535471,10000000000000000000,1240000000000000000000,100000000000000000000,0xa1d65E8fB6e87b60FECCBc582F7f97804B725521,0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C
11044000,1602548784,10000000000000000000,1240000000000000000000,100000000000000000000,0xa1d65E8fB6e87b60FECCBc582F7f97804B725521,0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C
11045000,1602561978,10000000000000000000,1240000000000000000000,100000000000000000000,0xa1d65E8fB6e87b60FECCBc582F7f97804B725521,0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C
11046000,1602574594,10000000000000000000,1240000000000000000000,100000000000000000000,0xa1d65E8fB6e87b60FECCBc582F7f97804B725521,0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C
11047000,1602588359,10000000000000000000,1240000000000000000000,100000000000000000000,0xa1d65E8fB6e87b60FECCBc582F7f97804B725521,0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C
11048000,1602601229,10000000000000000000,1240000000000000000000,100000000000000000000,0xa1d65E8fB6e87b60FECCBc582F7f97804B725521,0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C
11049000,1602614722,10000000000000000000,1240000000000000000000,100000000000000000000,0xa1d65E8fB6e87b60FECCBc582F7f97804B725521,0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C
11050000,1602627937,10000000000000000000,1240000000000000000000,100000000000000000000,0xa1d65E8fB6e87b60FECCBc582F7f97804B725521,0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C
11051000,1602641337,10000000000000000000,1240000000000000000000,100000000000000000000,0xa1d65E8fB6e87b60FECCBc582F7f97804B725521,0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C
11052000,1602654558,10000000000000000000,1240000000000000000000,100000000000000000000,0xa1d65E8fB6e87b60FECCBc582F7f97804B725521,0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C
