block,timestamp,reserve0,reserve1,totalsupply,reserve0tkn,reserve1tkn
12004000,1615288663,108487000000000000000,586889000000000000000,100000000000000000000,0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C,0xa1faa113cbE53436Df28FF0aEe54275c13B40975
12005000,1615302431,351892943045211582107661,1903657557595483147395689,324364157037443732527792,0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C,0xa1faa113cbE53436Df28FF0aEe54275c13B40975
12006000,1615315501,956663511386241397325937,4975155342191143785585856,864570419678343682634730,0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C,0xa1faa113cbE53436Df28FF0aEe54275c13B40975
12007000,1615328768,996513158049985427763459,4927894972714758960030740,878156386183177663747768,0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C,0xa1faa113cbE53436Df28FF0aEe54275c13B40975
12008000,1615342578,1240948371279748903349399,6313534052901210735298034,1109143237048227713945205,0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C,0xa1faa113cbE53436Df28FF0aEe54275c13B40975
12009000,1615355495,1288985324966126899522128,6533275369554908901518156,1149897059949301609179979,0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C,0xa1faa113cbE53436Df28FF0aEe54275c13B40975
12010000,1615368545,1418777344266002638958090,7237197857321560109432962,1269727243314458850409979,0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C,0xa1faa113cbE53436Df28FF0aEe54275c13B40975
12011000,1615382097,1348531437398257287125234,6979406810010064740790804,1215639286789295092376331,0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C,0xa1faa113cbE53436Df28FF0aEe54275c13B40975
12012000,1615395383,1340351069187048158515052,7062431805810064739790800,1219122789957632523231875,0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C,0xa1faa113cbE53436Df28FF0aEe54275c13B40975
12013000,1615408718,1357338495723031542110555,7120738472431749053408478,1231860740690833174119151,0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C,0xa1faa113cbE53436Df28FF0aEe54275c13B40975
12014000,1615421586,1354591006579481245450573,7143354596267838808611618,1232562870231719488753888,0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C,0xa1faa113cbE53436Df28FF0aEe54275c13B40975
12015000,1615435289,1370309009966406307231273,7261193633981423201061937,1249864620270213774925071,0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C,0xa1faa113cbE53436Df28FF0aEe54275c13B40975
12016000,1615448752,1373306969962445290750080,7262046276573332992371599,1251281182054076378391375,0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C,0xa1faa113cbE53436Df28FF0aEe54275c13B40975
12017000,1615462011,1392998364988960233692013,7322874635812128006931089,1265471245056311820858282,0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C,0xa1faa113cbE53436Df28FF0aEe54275c13B40975
12018000,1615475298,1412007581448239538476542,7224624201759143846965221,1265471245056311820858282,0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C,0xa1faa113cbE53436Df28FF0aEe54275c13B40975
12019000,1615488663,1404432200547482836133329,7245582355076048785192624,1263896098716205390851486,0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C,0xa1faa113cbE53436Df28FF0aEe54275c13B40975
12020000,1615502438,1394632897371671125483718,7296604749174570265748909,1263896098716205390851486,0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C,0xa1faa113cbE53436Df28FF0aEe54275c13B40975
12021000,1615515701,1392652121742840503747430,7307003571474570265748909,1263896098716205390851486,0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C,0xa1faa113cbE53436Df28FF0aEe54275c13B40975
12022000,1615528853,1416091715309370294782476,7186296103193248077913207,1263896098716205390851486,0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C,0xa1faa113cbE53436Df28FF0aEe54275c13B40975
12023000,1615542956,1437280387062254226253717,7080596233491304300687950,1263896098716205390851486,0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C,0xa1faa113cbE53436Df28FF0aEe54275c13B40975
12024000,1615556647,1405006640336992430128223,7243571509367114777629781,1263896098716205390851486,0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C,0xa1faa113cbE53436Df28FF0aEe54275c13B40975
12025000,1615570022,1400370001273286972464099,7323628523084446822715646,1268726023824740706415797,0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C,0xa1faa113cbE53436Df28FF0aEe54275c13B40975
12026000,1615582909,1384706385797112080223888,7403939361328379086696439,1268485536288756463253722,0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C,0xa1faa113cbE53436Df28FF0aEe54275c13B40975
12027000,1615595793,1403167790403147984491807,7452657439710232646986419,1281088626570307546592377,0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C,0xa1faa113cbE53436Df28FF0aEe54275c13B40975
12028000,1615609740,1405039403762142338414121,7484800502089466537435873,1284639910729110583706330,0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C,0xa1faa113cbE53436Df28FF0aEe54275c13B40975
12029000,1615622996,1439259816989546315320057,7464306051174558515708395,1298391089622997761737024,0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C,0xa1faa113cbE53436Df28FF0aEe54275c13B40975
12030000,1615635600,1543693043305269676616577,8010392084156295962807108,1392940329229953672129052,0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C,0xa1faa113cbE53436Df28FF0aEe54275c13B40975
12031000,1615648761,1527606250339046402639066,8102555402684427816182105,1393596659388700563299124,0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C,0xa1faa113cbE53436Df28FF0aEe54275c13B40975
12032000,1615662018,1542101401534803965473852,8231841252028809166327156,1411308405700243071887190,0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C,0xa1faa113cbE53436Df28FF0aEe54275c13B40975
12033000,1615675580,1545096497126018246720530,8223265485220981174251410,1411931230681799828289371,0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C,0xa1faa113cbE53436Df28FF0aEe54275c13B40975
12034000,1615688954,1541963105508036455444456,8240204069391091067000213,1411931230681799828289371,0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C,0xa1faa113cbE53436Df28FF0aEe54275c13B40975
12035000,1615702536,1531609383371878245303881,8296020220166578874523867,1411931230681799828289371,0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C,0xa1faa113cbE53436Df28FF0aEe54275c13B40975
12036000,1615715729,1554078555393190567848369,8319816175366530687819768,1424265435976374169361178,0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C,0xa1faa113cbE53436Df28FF0aEe54275c13B40975
12037000,1615729322,1555005503705644369689603,8315079285916580230509532,1424265435976374169361178,0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C,0xa1faa113cbE53436Df28FF0aEe54275c13B40975
12038000,1615742491,1555005503705644369689603,8315079285916580230509532,1424265435976374169361178,0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C,0xa1faa113cbE53436Df28FF0aEe54275c13B40975
12039000,1615755782,1567585760482721307298210,8248481989512919925660458,1424265435976374169361178,0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C,0xa1faa113cbE53436Df28FF0aEe54275c13B40975
12040000,1615768387,1590915111172011111568885,8206714753124087750282925,1431150046488510507233837,0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C,0xa1faa113cbE53436Df28FF0aEe54275c13B40975
12041000,1615782326,1606581818961683506166404,7952554737126063146645071,1415698403861287266129013,0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C,0xa1faa113cbE53436Df28FF0aEe54275c13B40975
12042000,1615796022,1584727750839174033377089,8080707178549217617644199,1417283083936692668514271,0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C,0xa1faa113cbE53436Df28FF0aEe54275c13B40975
12043000,1615808905,1613917514468801100833488,7773919966668046692364743,1402820761593040491395965,0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C,0xa1faa113cbE53436Df28FF0aEe54275c13B40975
12044000,1615822427,1282413310430870571632136,6058134609804025532684604,1103839373331603156875389,0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C,0xa1faa113cbE53436Df28FF0aEe54275c13B40975
12045000,1615835686,1550940117702309350068330,7109564552064301348631419,1314930211866665626965561,0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C,0xa1faa113cbE53436Df28FF0aEe54275c13B40975
12046000,1615848800,1569904295237215021652686,7079656628698671292560488,1320017856666536896622072,0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C,0xa1faa113cbE53436Df28FF0aEe54275c13B40975
12047000,1615861860,1549607871268716278069689,7172752748645360153859445,1320017856666536896622072,0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C,0xa1faa113cbE53436Df28FF0aEe54275c13B40975
12048000,1615875416,1535828539875486227021550,7157386953656224498300917,1312672315835067572332905,0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C,0xa1faa113cbE53436Df28FF0aEe54275c13B40975
12049000,1615889187,1574437315639306967638413,7218765550250591521084135,1334681996987502474664076,0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C,0xa1faa113cbE53436Df28FF0aEe54275c13B40975
12050000,1615902597,1558528078026467404507654,7292602389800131521084135,1334681996987502474664076,0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C,0xa1faa113cbE53436Df28FF0aEe54275c13B40975
12051000,1615915827,1556393679744477254865505,7330228245578869036078469,1337098562533058821257691,0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C,0xa1faa113cbE53436Df28FF0aEe54275c13B40975
12052000,1615928342,1587329909472158211707886,7187649364089654329208359,1337098562533058821257691,0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C,0xa1faa113cbE53436Df28FF0aEe54275c13B40975
12053000,1615942013,1622888988050273015511427,7030869635432369986475612,1337098562533058821257691,0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C,0xa1faa113cbE53436Df28FF0aEe54275c13B40975
12054000,1615955255,1650432787339924943492541,6914174884050140251980010,1337098562533058821257691,0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C,0xa1faa113cbE53436Df28FF0aEe54275c13B40975
12055000,1615968481,1641086297868700258105584,6954245999585277319425987,1337098562533058821257691,0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C,0xa1faa113cbE53436Df28FF0aEe54275c13B40975
12056000,1615981768,1637226546611541295717893,6976712025021171265287855,1337639061525600192805558,0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C,0xa1faa113cbE53436Df28FF0aEe54275c13B40975
12057000,1615995062,1684025272099418529568518,6784566597679642606109216,1337757421833208781933425,0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C,0xa1faa113cbE53436Df28FF0aEe54275c13B40975
12058000,1616008567,1655129703322542864086249,6948367930240338682616862,1342116544901600800065427,0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C,0xa1faa113cbE53436Df28FF0aEe54275c13B40975
12059000,1616021639,1640158895035515262971971,7080463924866667265542934,1348643411081956127335100,0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C,0xa1faa113cbE53436Df28FF0aEe54275c13B40975
12060000,1616035126,1931850728812605528076189,8496653374567793225511399,1603337701912918140362130,0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C,0xa1faa113cbE53436Df28FF0aEe54275c13B40975
12061000,1616048665,1922185016246850645104673,8545743535025674689234104,1603902238968450079608750,0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C,0xa1faa113cbE53436Df28FF0aEe54275c13B40975
12062000,1616062109,1985575508987663691361962,8475079374703276799266941,1623325592019774813445633,0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C,0xa1faa113cbE53436Df28FF0aEe54275c13B40975
12063000,1616075002,1983944725326760474317531,8609520631533993068508870,1635433380295477488017787,0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C,0xa1faa113cbE53436Df28FF0aEe54275c13B40975
