block,timestamp,reserve0,reserve1,totalsupply,reserve0tkn,reserve1tkn
11125000,1603621272,65865533778097854606046,1236500000000000000000,10000000000000000000000,0x7D1AfA7B718fb893dB30A3aBc0Cfc608AaCfeBB0,0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C
11126000,1603634251,65865533778097854606046,1236500000000000000000,10000000000000000000000,0x7D1AfA7B718fb893dB30A3aBc0Cfc608AaCfeBB0,0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C
11127000,1603647849,65865533778097854606046,1236500000000000000000,10000000000000000000000,0x7D1AfA7B718fb893dB30A3aBc0Cfc608AaCfeBB0,0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C
11128000,1603661160,65865533778097854606046,1236500000000000000000,10000000000000000000000,0x7D1AfA7B718fb893dB30A3aBc0Cfc608AaCfeBB0,0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C
11129000,1603674208,65865533778097854606046,1236500000000000000000,10000000000000000000000,0x7D1AfA7B718fb893dB30A3aBc0Cfc608AaCfeBB0,0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C
11130000,1603687807,65836894415002580903926,1237391468048261588961,10000000000000000000000,0x7D1AfA7B718fb893dB30A3aBc0Cfc608AaCfeBB0,0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C
11131000,1603701324,65836894415002580903926,1237391468048261588961,10000000000000000000000,0x7D1AfA7B718fb893dB30A3aBc0Cfc608AaCfeBB0,0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C
11132000,1603714468,65836894415002580903926,1237391468048261588961,10000000000000000000000,0x7D1AfA7B718fb893dB30A3aBc0Cfc608AaCfeBB0,0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C
11133000,1603728251,65836894415002580903926,1237391468048261588961,10000000000000000000000,0x7D1AfA7B718fb893dB30A3aBc0Cfc608AaCfeBB0,0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C
11134000,1603741273,65836894415002580903926,1237391468048261588961,10000000000000000000000,0x7D1AfA7B718fb893dB30A3aBc0Cfc608AaCfeBB0,0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C
11135000,1603754471,65836894415002580903926,1237391468048261588961,10000000000000000000000,0x7D1AfA7B718fb893dB30A3aBc0Cfc608AaCfeBB0,0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C
11136000,1603767652,65836894415002580903926,1237391468048261588961,10000000000000000000000,0x7D1AfA7B718fb893dB30A3aBc0Cfc608AaCfeBB0,0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C
11137000,1603780552,65836894415002580903926,1237391468048261588961,10000000000000000000000,0x7D1AfA7B718fb893dB30A3aBc0Cfc608AaCfeBB0,0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C
11138000,1603793902,65836894415002580903926,1237391468048261588961,10000000000000000000000,0x7D1AfA7B718fb893dB30A3aBc0Cfc608AaCfeBB0,0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C
11139000,1603806410,65836894415002580903926,1237391468048261588961,10000000000000000000000,0x7D1AfA7B718fb893dB30A3aBc0Cfc608AaCfeBB0,0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C
11140000,1603820015,65836894415002580903926,1237391468048261588961,10000000000000000000000,0x7D1AfA7B718fb893dB30A3aBc0Cfc608AaCfeBB0,0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C
11141000,1603833207,65836894415002580903926,1237391468048261588961,10000000000000000000000,0x7D1AfA7B718fb893dB30A3aBc0Cfc608AaCfeBB0,0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C
11142000,1603846872,65836894415002580903926,1237391468048261588961,10000000000000000000000,0x7D1AfA7B718fb893dB30A3aBc0Cfc608AaCfeBB0,0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C
11143000,1603860005,65836894415002580903926,1237391468048261588961,10000000000000000000000,0x7D1AfA7B718fb893dB30A3aBc0Cfc608AaCfeBB0,0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C
11144000,1603872942,65836894415002580903926,1237391468048261588961,10000000000000000000000,0x7D1AfA7B718fb893dB30A3aBc0Cfc608AaCfeBB0,0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C
