block,timestamp,reserve0,reserve1,totalsupply,reserve0tkn,reserve1tkn,price,sINV
10518000,1595537940,147554.88636117862,211647.76785076963,810756.6882086381,BNT,DAI,0.6971719468603981,0.21796818317736968
10519000,1595550800,148741.97498979775,209976.34922519594,810756.6882086381,BNT,DAI,0.708374898119,0.21797737693997013
10520000,1595564037,147937.85263475016,211119.98699054692,810756.6882086381,BNT,DAI,0.7007287881339923,0.217978565634802
10521000,1595577665,152451.86003778444,204887.58474661087,810756.6882086381,BNT,DAI,0.7440756365317358,0.21798853123779202
10522000,1595591287,153783.86741998766,203127.81643175037,810756.6882086381,BNT,DAI,0.7570793115459794,0.21799651421772448
10523000,1595604570,154859.54108627743,201747.5122122976,810756.6882086381,BNT,DAI,0.7675908336521133,0.21801307372519446
10524000,1595617514,154414.82041287603,202331.82449559876,810756.6882086381,BNT,DAI,0.7631761379991655,0.21801483633680918
10525000,1595630632,156443.27047215894,199713.65347965405,810756.6882086381,BNT,DAI,0.7833378827456916,0.21801771393554112
10526000,1595644773,153349.29064080177,203764.75832178898,810756.6882086381,BNT,DAI,0.7525800432998812,0.218029311093281
10527000,1595658421,149056.72585234634,209688.89461976313,810756.6882086381,BNT,DAI,0.7108470199274816,0.21805847165355827
10528000,1595672114,150161.35039268684,208149.45404561283,810756.6882086381,BNT,DAI,0.7214112142700179,0.2180600868199296
10529000,1595685385,149159.83042167142,209553.9584610762,810756.6882086381,BNT,DAI,0.7117967683219749,0.2180636790510412
10530000,1595699030,149822.62784603244,208628.7679663899,810756.6882086381,BNT,DAI,0.7181302430457188,0.21806464652017654
10531000,1595712359,149276.9715455237,209422.59992780862,810756.6882086381,BNT,DAI,0.7128025895819358,0.218080905300015
10532000,1595725572,150053.46863616066,208343.03599640814,810756.6882086381,BNT,DAI,0.7202231066592867,0.21808308082305178
10533000,1595738927,150881.95510157518,207204.57548297028,810756.6882086381,BNT,DAI,0.7281786840367136,0.21808599753566826
10534000,1595752122,154816.42884181137,201949.16761255966,810756.6882086381,BNT,DAI,0.7666108787277963,0.218091639042431
10535000,1595765196,155005.68851051482,201767.84220295283,810756.6882086381,BNT,DAI,0.7682378262964163,0.21812691292844025
10536000,1595778346,141711.56526799544,220801.3580032931,810756.6882086381,BNT,DAI,0.6418056779609205,0.21817901542226056
10537000,1595791784,152108.59251349402,205774.14395906983,810756.6882086381,BNT,DAI,0.7392016780482862,0.21821356057012523
10538000,1595805432,147628.95166208534,212030.8733909664,810756.6882086381,BNT,DAI,0.6962615835188797,0.2182201143538927
10539000,1595818691,148125.72326909134,211334.38185718804,810756.6882086381,BNT,DAI,0.7009068849440183,0.2182276524895881
10540000,1595831829,149926.11620121542,208812.34830634927,810756.6882086381,BNT,DAI,0.7179944932244061,0.21823590010302418
10541000,1595845330,147848.41032150108,211756.8723823638,810756.6882086381,BNT,DAI,0.6981988761835087,0.21824110233052438
10542000,1595858675,149077.4876885766,210022.38439551718,810756.6882086381,BNT,DAI,0.7098171374334639,0.2182470011742123
10543000,1595872747,154192.26313217313,203084.70168452288,810756.6882086381,BNT,DAI,0.7592510014451972,0.21826261594842608
10544000,1595886255,150865.5164487002,207578.35904405362,810756.6882086381,BNT,DAI,0.7267882699500603,0.21827072405754336
10545000,1595899333,154403.26747516828,202831.66881482882,810756.6882086381,BNT,DAI,0.7612384613180287,0.2182757982992078
10546000,1595912879,152536.9497555543,205318.37718078322,810756.6882086381,BNT,DAI,0.7429288690570801,0.21827846966482087
10547000,1595925464,148208.03420692455,211344.59932725248,810756.6882086381,BNT,DAI,0.7012624627205859,0.21829355353353233
10548000,1595939151,148713.26759241289,210640.3226346993,810756.6882086381,BNT,DAI,0.7060056960239149,0.2183006725808519
10549000,1595952308,146665.61136644773,213588.17940175685,810756.6882086381,BNT,DAI,0.6866747578318528,0.21830426239187897
10550000,1595965859,143781.32825533382,217920.48226657437,810756.6882086381,BNT,DAI,0.6597880417658549,0.21832814825437266
10551000,1595979281,147621.46984874792,212278.89267497137,810756.6882086381,BNT,DAI,0.6954128504654347,0.21834217358626556
10552000,1595992791,147070.27269229517,213097.29079179227,810756.6882086381,BNT,DAI,0.6901555254214418,0.21835385967145587
10553000,1596006108,147190.7135492187,212930.04296764656,810756.6882086381,BNT,DAI,0.6912632501162996,0.2183575114750373
10554000,1596019405,148158.78487384217,211557.8593509553,810756.6882086381,BNT,DAI,0.7003227643179174,0.2183673711037197
10555000,1596032209,144174.3583120056,217423.7879282164,810756.6882086381,BNT,DAI,0.6631029644263466,0.21837705376738803
10556000,1596045521,145491.1217700695,215459.932380304,810756.6882086381,BNT,DAI,0.675258365500951,0.2183790466949368
10557000,1596058733,146198.47844697276,214422.9636728893,810756.6882086381,BNT,DAI,0.6818228604936377,0.2183818463815926
10558000,1596072129,148308.89915757917,211384.12394546042,810756.6882086381,BNT,DAI,0.7016085048839552,0.21838824027013395
10559000,1596085186,148577.74388565688,211008.62808948095,810756.6882086381,BNT,DAI,0.7041311307073688,0.2183918597564647
10560000,1596098759,148134.30126656266,211650.99316099266,810756.6882086381,BNT,DAI,0.6998989187538756,0.21839738399869024
10561000,1596113146,144802.4604332337,216543.11999603445,810756.6882086381,BNT,DAI,0.6687003513936877,0.21840854496131598
10562000,1596126689,140138.98948404315,223778.75931072826,810756.6882086381,BNT,DAI,0.6262390135493289,0.21842300696331937
10563000,1596140024,139686.53524608514,224524.85154290244,810756.6882086381,BNT,DAI,0.6221428687567518,0.21843334760838692
10564000,1596153533,137866.45130950623,227520.26012560027,810756.6882086381,BNT,DAI,0.6059524159887935,0.21844836386186411
10565000,1596167425,136629.26115927397,229593.14895531524,810756.6882086381,BNT,DAI,0.5950929362699127,0.2184543928260092
10566000,1596180845,133541.72875229246,234913.23831911234,810756.6882086381,BNT,DAI,0.5684725548369729,0.21845988610174963
10567000,1596193921,131019.47873823346,240469.02227247096,812365.5239433862,BNT,DAI,0.5448497170241651,0.21849727165151014
10568000,1596207016,131934.81090124807,238818.34601224886,812365.5239433862,BNT,DAI,0.5524483906043014,0.21850534174261657
10569000,1596220220,136504.80939877598,230874.3534787682,812365.5239433862,BNT,DAI,0.591251506899528,0.21852963408013315
10570000,1596233291,139704.47462815375,225601.07905215654,812365.5239433862,BNT,DAI,0.619254461082855,0.21853663946130295
10571000,1596247290,138353.4770481938,227437.7747119712,811659.5239433862,BNT,DAI,0.6083135364097086,0.21855082429252837
10572000,1596260970,140732.78094648194,223602.71490534407,811659.5239433862,BNT,DAI,0.6293876217292675,0.21855577269699078
10573000,1596273444,138585.33364051185,227086.29889670547,811659.5239433862,BNT,DAI,0.6102760682340859,0.21856479652362898
10574000,1596286474,138884.48482814964,226612.89820365212,811659.5239433862,BNT,DAI,0.6128710498346707,0.2185723842330204
10575000,1596299712,138033.7379136915,228015.57870509799,811659.5239433862,BNT,DAI,0.6053697677044088,0.21857525590089222
10576000,1596312655,135721.66590007377,231936.7435917284,811659.5239433862,BNT,DAI,0.5851667303692973,0.2185926119839904
10577000,1596326386,130066.37301919202,242087.16477006883,811659.5239433862,BNT,DAI,0.5372708344233257,0.21862232469807383
10578000,1596339947,128141.62964090468,245790.3038156494,811659.5239433862,BNT,DAI,0.5213453405265938,0.21865207625068137
10579000,1596353107,131164.10451606938,240184.80175030927,811659.5239433862,BNT,DAI,0.5460966037827183,0.21867864377389312
10580000,1596366064,130515.99503326791,241401.51337105213,811659.5239433862,BNT,DAI,0.5406593902858227,0.21868952161908026
10581000,1596379298,132694.24782905506,237463.67481386673,811659.5239433862,BNT,DAI,0.5587980895733462,0.21870099136506618
10582000,1596393140,130616.40833504952,241250.24761318814,811659.5239433862,BNT,DAI,0.5414146083881958,0.21870507638743747
10583000,1596406368,130816.61032233808,240882.63594316755,811659.5239433862,BNT,DAI,0.5430719811335931,0.2187058019033178
10584000,1596420181,128248.24090360856,245735.13747749088,811659.5239433862,BNT,DAI,0.5218962262381218,0.21871846517245336
10585000,1596433547,128134.14803224968,246013.59958892743,811659.5239433862,BNT,DAI,0.5208417268246691,0.2187449882668334
10586000,1596446727,125618.38402821131,250967.49390043918,811659.5239433862,BNT,DAI,0.500536472177728,0.21875674322093228
10587000,1596460736,126543.56558684957,249137.09594837445,811659.5239433862,BNT,DAI,0.5079274329065455,0.21875870488796448
10588000,1596473308,125428.80477041582,251355.81131441772,811659.5239433862,BNT,DAI,0.49900897104590336,0.21876065658070368
10589000,1596486738,126477.21965286873,249296.80152158986,811659.5239433862,BNT,DAI,0.5073359099712133,0.21877143688496806
10590000,1596499718,127408.62774177013,247536.32004378096,811659.5239433862,BNT,DAI,0.5147068022956622,0.21879882994883956
10591000,1596513067,127662.92272981918,247056.25513622342,811659.5239433862,BNT,DAI,0.5167362496425262,0.21880459067770464
