block,timestamp,reserve0,reserve1,totalsupply,reserve0tkn,reserve1tkn,price,sINV
11044000,1602548784,102136.00000000001,26569.16216216216,84159.52537903759,REN,BNT,3.844155844155845,0.6189778025099123
11045000,1602561978,52136.0,13562.405405405405,42959.78905735003,REN,BNT,3.844155844155844,0.6189778025099122
11046000,1602574594,52136.0,13562.405405405405,42959.78905735003,REN,BNT,3.844155844155844,0.6189778025099122
11047000,1602588359,50607.709000065945,13972.819099002358,42959.78905735003,REN,BNT,3.6218681886233877,0.6189965331933701
11048000,1602601229,50607.709000065945,13972.819099002358,42959.78905735003,REN,BNT,3.6218681886233877,0.6189965331933701
11049000,1602614722,52193.06156967916,13549.246687092718,42959.78905735003,REN,BNT,3.852100620427799,0.6190159237643654
11050000,1602627937,52193.06156967916,13549.246687092718,42959.78905735003,REN,BNT,3.852100620427799,0.6190159237643654
11051000,1602641337,50939.698826848646,13883.30819055983,42959.78905735003,REN,BNT,3.6691326107336493,0.6190311856343255
11052000,1602654558,50939.698826848646,13883.30819055983,42959.78905735003,REN,BNT,3.6691326107336493,0.6190311856343255
11053000,1602667579,50939.698826848646,13883.30819055983,42959.78905735003,REN,BNT,3.6691326107336493,0.6190311856343255
11054000,1602681529,49388.55843396661,14320.240857606455,42959.78905735003,REN,BNT,3.4488636696171895,0.619050667352024
11055000,1602694261,49388.55843396661,14320.240857606455,42959.78905735003,REN,BNT,3.4488636696171895,0.619050667352024
11056000,1602707585,49388.55843396661,14320.240857606455,42959.78905735003,REN,BNT,3.4488636696171895,0.619050667352024
11057000,1602720186,52494.16775747817,15726.935403166472,46413.09937274212,REN,BNT,3.3378510441970124,0.6190660792667747
11058000,1602732764,52494.16775747817,15726.935403166472,46413.09937274212,REN,BNT,3.3378510441970124,0.6190660792667747
11059000,1602746405,52494.16775747817,15726.935403166472,46413.09937274212,REN,BNT,3.3378510441970124,0.6190660792667747
11060000,1602760147,352494.16775747814,105605.1223047545,311660.27647155547,REN,BNT,3.3378510441970133,0.6190660792667748
11061000,1602772966,352494.16775747814,105605.1223047545,311660.27647155547,REN,BNT,3.3378510441970133,0.6190660792667748
11062000,1602786263,356014.83967449586,104562.86972125537,311660.27647155547,REN,BNT,3.4047921659338867,0.6190722623979446
11063000,1602799114,354423.5330956152,105033.28581145038,311660.27647155547,REN,BNT,3.37439251145447,0.6190750475251978
11064000,1602812329,354423.5330956152,105033.28581145038,311660.27647155547,REN,BNT,3.37439251145447,0.6190750475251978
11065000,1602825913,355680.67167451273,104670.64360008195,311660.27647155547,REN,BNT,3.3980938631988526,0.619100462476521
11066000,1602838713,355680.67167451273,104670.64360008195,311660.27647155547,REN,BNT,3.3980938631988526,0.619100462476521
11067000,1602851884,359956.89532421116,103429.66197914012,311660.27647155547,REN,BNT,3.4802095301907485,0.6191079056589477
11068000,1602865569,354623.81173668127,104988.26267857187,311660.27647155547,REN,BNT,3.3777472137279214,0.6191172003697183
11069000,1602878937,352228.2469072518,105703.7465929211,311660.27647155547,REN,BNT,3.33222102584243,0.61912141957363
11070000,1602892022,358925.5059830761,103735.32039523318,311660.27647155547,REN,BNT,3.460012506979921,0.6191331178935896
11071000,1602905004,356903.8639591597,104326.64965757239,311660.27647155547,REN,BNT,3.421022961348921,0.6191441925042857
11072000,1602918418,359809.3556002089,103489.62194951794,311660.27647155547,REN,BNT,3.4767675137099574,0.619160403194962
11073000,1602931980,355134.573022288,104854.65541007619,311660.27647155547,REN,BNT,3.3869223224604745,0.6191685432105298
11074000,1602944959,353627.0868245129,105613.96073926664,312120.31925534114,REN,BNT,3.34829869412365,0.6191721076929634
11075000,1602958258,346465.9543552187,107801.33895656958,312120.31925534114,REN,BNT,3.2139299725655635,0.6191848441242946
11076000,1602972005,343421.61935846595,108758.89519548693,312120.31925534114,REN,BNT,3.1576416691360123,0.6191903325004482
11077000,1602984934,347107.3683734979,107606.34573558222,312120.31925534114,REN,BNT,3.2257146732445894,0.6191969601851055
