block,timestamp,reserve0,reserve1,total supply,trade volume,price,sINV
11559000,1609378868,225669016.66936928,64696.932986831765,3818512.093794285,98618677.11785966,3488.0945085186877,1.0006533286208548
11560000,1609392500,227942304.4482464,64106.43823347244,3819496.151104805,124661204.85310993,3555.685056438356,1.0008228553704954
11561000,1609405681,228186525.68778965,64078.864245000615,3820528.4869971513,132237514.76324494,3561.0263754884313,1.0008729649929915
11562000,1609418376,229316043.48639122,63769.31594274133,3820612.5479048816,136146668.54411766,3596.024829438265,1.0008986454178113
11563000,1609431762,237711456.713296,61523.199553768776,3820559.0691000624,146022642.17063037,3863.769414423025,1.000962009669102
11564000,1609445658,237401539.63485083,61611.85304044713,3820545.1134394114,157330722.47536123,3853.179671109724,1.0010334013470914
11565000,1609459028,236360681.31420708,61886.500864911184,3820594.486181191,159531211.11242366,3819.260711316455,1.0010473860609077
11566000,1609471724,236659630.95833042,61805.459761891885,3820474.3117034924,160834526.16422948,3829.105581773385,1.001055666456586
11567000,1609485046,235928686.9077401,61995.77134786068,3820411.602577517,161929356.80586347,3805.5609564712895,1.0010626404790797
11568000,1609498801,235749172.76158804,62027.38246823567,3819906.824102197,162938824.92246425,3800.7274107095454,1.0010690772410666
11569000,1609511574,235888885.2176596,61993.017201289804,3819949.5595089663,164188219.88032174,3805.087990018845,1.0010770327384615
11570000,1609524661,235730151.7819121,62035.863949868566,3819949.5595089663,165582995.05834594,3799.901166402821,1.0010859288765197
11571000,1609537804,235576175.8530649,62078.65126219008,3819996.4901823183,166485528.68532953,3794.801772643314,1.0010916898183015
11572000,1609551469,235204272.71387103,62168.626226911874,3819707.984996697,168007481.04527315,3783.327491512988,1.0011014172231196
11573000,1609563999,235572447.16656545,62071.38049195443,3819667.490801024,169565382.38450676,3795.186208193,1.0011113623253929
11574000,1609577641,235631699.3012003,62056.346067462946,3819669.532052152,170206864.35623455,3797.060481856916,1.0011154580852135
11575000,1609590653,236228991.7272162,61900.92781627994,3819669.532052152,172093743.00260115,3816.243149510401,1.0011274902296756
11576000,1609603954,235998475.81285083,61962.866320127985,3819669.532052152,173965168.99839365,3808.7081800505584,1.0011394111422496
11577000,1609616762,236162091.92273253,61921.95923808836,3819670.6640244913,176488221.65860802,3813.866596415261,1.0011554570748011
11578000,1609630001,236508845.76446718,61832.20500993032,3819670.6640244913,177801204.54757515,3825.010699949704,1.0011638096332331
11579000,1609643486,236626047.37300208,61801.62809894633,3819654.78548688,178518030.28787282,3828.799574570373,1.0011683665637583
11580000,1609657355,236293239.54968065,61889.18659233293,3819654.78548688,179170860.99031082,3818.005253585826,1.001172522655487
11581000,1609670202,235917017.44965369,61988.445191589024,3819654.78548688,179883463.9642067,3805.822467727654,1.001177065471552
11582000,1609683401,235112749.17829248,62201.97427226196,3819658.023548389,181616784.9453292,3779.8277615625047,1.0011881311860138
11583000,1609696530,235923334.590354,61989.92049604551,3819658.023548389,183716699.2257372,3805.8337985028425,1.0012015347958398
11584000,1609709635,235894778.37765956,61999.16452816914,3819688.7485695225,184657043.25439283,3804.8057610595924,1.0012075295561995
11585000,1609723433,235948985.9536233,61985.695396100076,3819688.7485695225,185638641.57170764,3806.507040791681,1.0012137864120665
11586000,1609736472,235813169.98107207,62023.829034335125,3819704.936552229,188052608.99705985,3801.976976470296,1.001229182114734
11587000,1609750081,234925339.5176336,62260.0657728733,3819714.1130569163,189985446.22510248,3773.290898449237,1.0012415407397195
11588000,1609763514,234518386.1732093,62368.71606307041,3819714.1130569163,190751802.083017,3760.1926250341976,1.0012464539765251
11589000,1609776684,234091360.87007496,62482.93595364693,3819714.1130569163,191310312.98697308,3746.4846569267493,1.0012500433339724
11590000,1609790045,233568094.75230604,62623.72495858419,3819714.1130569163,192313543.4608022,3729.7061921304557,1.0012564990379766
11591000,1609802757,233011288.58021557,62773.224837746486,3819672.0721742483,193840473.60254723,3711.953451212568,1.0012663515557163
11592000,1609816700,228961496.63358128,63886.94853584621,3819641.178955429,199195636.20121732,3583.854009009582,1.0013011926820514
11593000,1609829565,228474835.19478613,64024.632090099316,3819670.310474182,199938078.32131475,3568.545850810398,1.001306079730047
11594000,1609842701,227750105.27342463,64229.51064887735,3819670.310474182,201290153.5381533,3545.879502624008,1.0013149970658184
11595000,1609856035,226443499.8431662,64602.284734482804,3819695.5005046623,202821991.0090613,3505.1933654336744,1.0013251514954873
11596000,1609869311,224061698.8557296,65291.191463010124,3819689.302456082,205562614.068668,3431.7293624924723,1.0013434718160477
11597000,1609882296,220874815.03914317,66242.96220546318,3819880.672359272,209005192.7284076,3334.3136793017275,1.0013667699612083
11598000,1609895571,217922155.73288617,67143.96770527701,3819883.2709405087,212676890.5096337,3245.595444842311,1.0013919641010849
11599000,1609909426,216290518.7291169,67653.50546987272,3819911.565761091,214832221.1826265,3197.033431260038,1.001406911814297
11600000,1609922671,214815646.1265427,68114.99027294872,3819780.080269956,216601383.55105487,3153.7205726043376,1.0014192717902992
11601000,1609935946,211642210.12325287,69142.59582294471,3819788.98673175,222713608.9371856,3060.952624127834,1.001462316163826
11602000,1609948588,209967264.4455932,69695.09121688223,3819763.091297472,224601838.99218675,3012.65499161486,1.0014758072097472
11603000,1609961853,206323945.11656323,70933.6992167791,3819774.9856758686,231862070.77954403,2908.687230395537,1.0015285657941837
11604000,1609975244,203617042.40911216,71890.56525547901,3819889.5233004033,241002018.85358843,2832.31939664842,1.001595140931896
