block,timestamp,reserve0,reserve1,total supply,trade volume,price,sINV
11714000,1611433732,6280.786306187604,227.13707911499495,1192.2997969059857,1849.491211340048,27.651963874237232,1.0017643148977025
11715000,1611446663,9812.98346773083,363.92507441111746,1886.3535417222238,2091.8674763494855,26.9642961085043,1.0018055457647297
11716000,1611459890,12140.340372907625,434.6548335671201,2291.5523451012195,6747.447247083839,27.930991295494014,1.0024388882061628
11717000,1611473553,25565.17190245328,927.4703095713827,4857.458696784787,6909.804417394547,27.564410028680978,1.002455839583222
11718000,1611487072,36429.75352281754,1321.8601574089828,6922.382042448597,6912.804417394547,27.559461050875893,1.0024559747795116
11719000,1611499869,40123.96102529322,1442.7665948602553,7589.369866075283,8710.974492060195,27.810431131571626,1.0025227125590137
11720000,1611513320,42330.53995820347,1501.6632642673476,7951.92802889667,11582.584746548979,28.18910268731671,1.0026301075665285
11721000,1611526788,45818.631225197925,1575.5845669599157,8474.047736553692,12301.921255232963,29.080401132390367,1.002653810028218
11722000,1611539951,44702.06513036306,1527.7756111001784,8241.583477663307,14507.961325104166,29.2595750354807,1.002727482213095
11723000,1611553245,55122.95710516035,1908.6116538784322,10228.979897448937,15335.986926971902,28.88118019878305,1.0027501007504434
11724000,1611566567,62721.136697113376,2232.9717629660063,11800.911637667357,18941.046703414773,28.08863852976013,1.0028431615623976
11725000,1611579635,63399.31916670497,2272.64686088535,11968.500402518848,22389.96584816319,27.896687451919675,1.0029251844228098
11726000,1611592721,64298.193044725114,2281.371712434507,12076.061921214172,22736.135533510525,28.18400556747105,1.0029333640705869
11727000,1611605798,61923.625954282856,2181.905631618805,11589.0771510563,25446.33105975389,28.38052437141395,1.0029916485619133
11728000,1611619442,65718.01297718337,2267.608565483395,12170.88012252101,26147.15237962133,28.981198068095146,1.0030077101187658
11729000,1611632863,65474.02478395661,2278.5872092741406,12177.176872915903,27797.81321120956,28.734482716952407,1.0030457280780818
11730000,1611646440,68178.08417523329,2338.986088524155,12588.275826658099,32882.46423415553,29.14856334962302,1.0031594431023825
11731000,1611660265,70878.5533544422,2437.0589400848294,13098.951023766807,41851.42515739491,29.08364348052044,1.003353385661519
11732000,1611673324,71921.4988648958,2469.050999101552,13281.117288909027,42491.11348183265,29.12920749351345,1.0033669300040815
11733000,1611685824,72313.61613886943,2459.663681264945,13291.84017764326,42824.89339623349,29.39979830969423,1.003373885029886
11734000,1611698848,72360.08661409719,2457.6704661132694,13290.70740065603,42877.52914967475,29.44255041992366,1.0033749800192926
11735000,1611712634,72948.68726493006,2457.287965553841,13343.532324966074,43178.52914967475,29.686666067437635,1.003381190247692
11736000,1611726163,72879.19914549452,2459.6379655538412,13343.532324966074,43248.01726911029,29.63005131898921,1.0033826282342366
11737000,1611739725,72879.19914549452,2459.6379655538412,13343.532324966074,43248.01726911029,29.63005131898921,1.0033826282342366
11738000,1611752604,72879.19914549452,2459.6379655538412,13343.532324966074,43248.01726911029,29.63005131898921,1.0033826282342366
11739000,1611765926,73115.1862441586,2451.725585558284,13343.532324966074,43510.00436777436,29.821928960907535,1.0033880233141834
