block,timestamp,reserve0,reserve1,total supply,trade volume,price,sINV
11145000,1603886641,25262.393082931958,6065.699995221428,12033.373338358078,1010392.3356255057,4.164794352314444,1.028703734739869
11146000,1603899413,22065.075161370118,8717.370353660086,13131.323357049956,1386989.483472747,2.531161837365996,1.0561776140264472
11147000,1603912403,23337.721627930685,10403.230505614738,14623.302557633577,1520591.104514161,2.2433148641025555,1.065535375141191
11148000,1603925650,26931.060749854623,12156.46146079493,16916.55603731194,1585976.759863409,2.2153700595118377,1.069592544034745
11149000,1603939411,29395.35532286648,11277.330791075532,16980.384768429023,1631207.5042482454,2.606588018694006,1.0722473705489366
11150000,1603952469,26939.236038422627,13704.558296538356,17857.33043102653,1700041.28903279,1.9657135571620152,1.0759909640163772
11151000,1603966058,20844.67027993317,18735.102748116282,18202.839463374607,1834143.6007129373,1.1125997311132445,1.0856414480075869
11152000,1603978759,21973.952071356962,18732.78227690049,18609.98535188025,1895073.031043013,1.1730212707619614,1.0902075816671626
11153000,1603992067,23713.96693801288,17662.159639693436,18732.395280127857,1927588.0870613519,1.3426425432549478,1.0925232664219344
11154000,1604005357,23092.779945476093,17646.681088974234,18439.075076519974,1958973.6595818803,1.3086188745091911,1.0947891749898255
11155000,1604018693,22663.134833844433,18493.188957180053,18679.341087755023,1975410.6111682176,1.2254854955691885,1.0959843240090985
11156000,1604032125,27908.163261661208,16471.07423414721,19435.621951261965,2091294.9573202743,1.694374202005784,1.1031336864405628
11157000,1604045287,31284.41273499632,14934.987837882636,19553.09933197934,2131202.205660475,2.0947062745938982,1.1054798566335349
11158000,1604059142,31304.60748859023,15334.599159395006,19747.25287366291,2209745.5949024917,2.0414363077375213,1.1095162259963491
11159000,1604072272,32999.886130769264,15546.027134675633,20326.694878396847,2297134.926297161,2.122721505944279,1.1142923867775618
11160000,1604085381,32674.673914153085,15872.451385661636,20410.590760207382,2325878.8270347943,2.0585776651784053,1.1157632651697609
11161000,1604099134,32042.75451009065,16180.640853861285,20377.544375168352,2356126.7525492865,1.98031430272084,1.1174058299055023
11162000,1604112106,30542.34537275305,16949.19839907884,20343.111132061604,2375697.3015554408,1.8019935016167479,1.118428955011342
11163000,1604125251,27689.738983608564,18836.3614308414,20375.142465307985,2418215.6948404387,1.4700152726030846,1.120875262368617
11164000,1604139085,28312.198005537408,18672.42474959089,20467.927957723856,2459662.026489356,1.5162571752314986,1.1233453003689189
11165000,1604151986,28680.34434033561,18490.22192375965,20485.922184718176,2472416.780803191,1.5511087134915242,1.1241071850331674
11166000,1604164476,29556.032549245752,16548.924025541917,19643.141487872548,2503173.7708414504,1.7859791067762727,1.125892702675752
11167000,1604178404,30592.014798148004,16022.88236904401,19639.297144827247,2528943.075531209,1.9092703855363349,1.1273231393946357
11168000,1604191395,30358.518142482946,16363.576607906214,19764.974669527826,2535235.9300601115,1.8552495502612143,1.127672888897029
11169000,1604204494,28679.804002182518,17358.558517999598,19772.599457812306,2548727.46465937,1.6521996323855803,1.128446956835414
11170000,1604218490,29724.074718029493,16799.218528533445,19779.643086531905,2571809.745898447,1.7693724661979482,1.12974456638113
11171000,1604231335,29459.954433273848,16960.787037166392,19778.65873597225,2579152.913900446,1.7369450113793583,1.1301658984623868
11172000,1604244339,29858.218520686147,16793.046362997815,19806.35728099188,2586060.054464261,1.7780108430163348,1.130556003886947
11173000,1604257692,30536.33976228872,16455.2772979119,19817.4534939698,2596427.771402277,1.8557171179463283,1.131131884467142
11174000,1604270962,29886.129016588337,16605.390587640024,19682.566167898127,2608774.7270635376,1.7997847662092106,1.131820774374101
11175000,1604284735,30084.566865245386,16459.823697561682,19647.64057768624,2622505.072603804,1.8277575396935788,1.1325935039471935
11176000,1604298361,29470.083676984843,16825.975651796623,19644.43749792165,2639224.236447549,1.7514635874228268,1.1335513927912184
11177000,1604311625,29956.69331495,16575.025628547533,19644.522510610903,2652557.177617547,1.807339185247166,1.1343120974041456
11178000,1604324653,30008.800530640077,16539.259460002675,19634.052821085388,2659023.830999513,1.8143980752712143,1.1346773702508266
11179000,1604337607,30628.568319489594,16229.61919189068,19634.357122010515,2674614.724463767,1.8872019088897365,1.1355357911871866
11180000,1604351268,32087.668799359653,15565.331665411884,19674.86992728768,2681074.0712332795,2.0614831401673555,1.1358903312111273
11181000,1604364181,32465.60521637892,15395.516616243609,19661.980010828192,2703570.0845407173,2.1087701066247337,1.1370554255401608
11182000,1604377174,33150.231441688484,15089.548678377085,19657.47638472609,2717319.499223004,2.1969001292392445,1.1377678167423215
11183000,1604390633,32898.058353207525,15219.893066677405,19655.760920182358,2729757.193003449,2.1615170493697398,1.138416214628581
11184000,1604403669,30278.087317339214,16704.217537396078,19678.827002277638,2807697.177338093,1.8126013534938128,1.1428206502217042
11185000,1604417434,32982.339430635664,15490.4751735776,19746.520931728868,2842320.099864342,2.1292012711717376,1.1446758188797936
11186000,1604431058,34431.357357309964,14858.429003559508,19742.27037936461,2862653.1631679414,2.317294604231816,1.1456881553663174
11187000,1604443903,34336.23086588945,14894.945355936165,19734.006451943427,2868725.7571925106,2.3052270448380834,1.145989138462434
11188000,1604457123,35788.519323841334,14334.716843219861,19749.885031472,2886544.0861223326,2.4966324563829,1.1468374142020492
11189000,1604470328,35745.42319071657,14361.300580001667,19753.221200815817,2890256.925700018,2.4890101694892883,1.1470152193702028
11190000,1604483789,36298.17210739098,14092.402735027632,19714.738804986166,2894417.916554297,2.575726282443617,1.1472125072802133
11191000,1604497549,38808.03222910727,13204.129198597488,19718.510672909488,2911954.200930589,2.939083043297499,1.147999195884601
11192000,1604510176,41505.04084373865,12281.11759331323,19640.485879657663,2948468.4901205865,3.3795817463988085,1.1495216105253994
11193000,1604523521,39993.73390351026,12754.131560785205,19630.73365161804,2971074.2404393754,3.135747323359745,1.150495414323674
11194000,1604536584,38819.40542342136,13211.93815458801,19674.98451571169,2983478.0416387417,2.9382067164718615,1.15104766033732
11195000,1604549893,39772.041734609484,12901.497920302369,19675.874635727087,2988385.784445225,3.0827460485826568,1.1512641068157428
11196000,1604563850,40470.28899355181,12665.983985206276,19662.15799932661,2993457.835798236,3.1951950232070905,1.151480104308674
11197000,1604576506,40488.16851479972,12580.735612647744,19594.76362744179,3000913.0428440617,3.218267179392587,1.1517999486276225
