block,timestamp,reserve0,reserve1,total supply,trade volume,price,sINV
11714000,1611433732,276559.3991830399,161834.21659332822,210000.0,2300479.6410167683,1.7089056010818993,1.0074188939328106
11715000,1611446663,251923.14555324306,178914.20892054337,210000.0,2892224.688038092,1.408066732503752,1.0109674123036736
11716000,1611459890,293580.29327798105,197677.31934636852,238384.8632299941,3193189.088550026,1.4851491018227136,1.010562541158391
11717000,1611473553,407026.6444159251,205693.02231625305,286103.6918385576,3435540.791541891,1.978806280507277,1.0113412878228747
11718000,1611487072,362881.3672591366,246739.80559371482,295693.68975509005,3615928.9971663854,1.4707046006863684,1.0119519395865206
11719000,1611499869,422605.3399870954,329534.6863251349,368638.9512130867,3734653.4027822623,1.282430522564573,1.012317712253092
11720000,1611513320,462854.1273223907,309941.998727832,373934.2735188089,3923577.292077536,1.4933572385226654,1.0129010285538556
11721000,1611526788,516666.45751728,318789.3187285473,400498.03771785,4090927.7267944003,1.6207144567388316,1.0133433506124692
11722000,1611539951,452564.81164722756,353713.9271983437,394631.233525973,4283657.930007494,1.2794656270163025,1.0138530608664356
11723000,1611553245,462140.4550211908,366862.809760476,405996.44310002134,4405330.394994606,1.259709195715209,1.014183659679978
11724000,1611566567,478823.0842899234,392258.3489905021,427214.32092737406,4496949.437972029,1.2206829644855244,1.0144434337193906
11725000,1611579635,472120.9180031608,415835.6251952629,436701.87615464034,4567019.996018357,1.1353546675599722,1.0146176439136452
11726000,1611592721,505286.6855040597,462787.0768755282,476455.7548531288,4684689.492794981,1.0918340436717993,1.0149320377584985
11727000,1611605798,541594.5451576893,466394.92475898255,495114.1589226324,4752899.173490212,1.1612359320538648,1.015099707308786
11728000,1611619442,513073.8032752726,396806.3587307604,444361.6137572094,4885803.083209396,1.2930080176043792,1.0154129471445996
11729000,1611632863,529007.4873809747,481515.40065115143,496901.372280827,5003382.249742713,1.0986304626302708,1.015700823000678
11730000,1611646440,643048.7991171669,606600.4586187105,614829.8568637125,5061200.772082142,1.0600862396006971,1.0158237998198871
11731000,1611660265,665015.2898905409,591346.6381468722,617150.1512629911,5212323.839230772,1.1245777805967192,1.0161224381456466
11732000,1611673324,694313.6252214075,561709.885437262,614530.5054689283,5274353.6927180765,1.236071579336583,1.01622630218348
11733000,1611685824,708817.3945497867,587847.4441055593,635163.6261764711,5308097.419410082,1.2057845988057148,1.0162811750011758
11734000,1611698848,656363.221168016,572370.1186976583,603062.426143304,5352809.013885216,1.1467461345841587,1.016361778872249
